,Setor,Código,Ação,Tipo,Qtde. Teórica,Part. (%),Part. (%)Acum.,SubSetor
0,Bens Indls,WEGE3,WEG,ON      NM,1482296002,2.162,2.162,Máqs e Equips
1,Bens Indls,EMBR3,EMBRAER,ON      NM,736143105,0.66,0.66,Mat Transporte
2,Bens Indls,AZUL4,AZUL,PN      N2,327262616,0.653,2.662,Transporte
3,Bens Indls,CCRO3,CCR SA,ON      NM,1115693556,0.65,2.662,Transporte
4,Bens Indls,ECOR3,ECORODOVIAS,ON      NM,172602770,0.094,2.662,Transporte
5,Bens Indls,GOLL4,GOL,PN      N2,178123292,0.196,2.662,Transporte
6,Bens Indls,RAIL3,RUMO S.A.,ON      NM,1218081171,1.069,2.662,Transporte
7,Consumo Não-Cíclico,BRFS3,BRF SA,ON  ATZ NM,811759800,1.005,3.134,Alimentos Processados
8,Consumo Não-Cíclico,JBSS3,JBS,ON      NM,1388025890,1.734,3.134,Alimentos Processados
9,Consumo Não-Cíclico,MRFG3,MARFRIG,ON      NM,368864634,0.293,3.134,Alimentos Processados
10,Consumo Não-Cíclico,BEEF3,MINERVA,ON      NM,240482896,0.102,3.134,Alimentos Processados
11,Consumo Não-Cíclico,ABEV3,AMBEV S/A,ON,4358542894,3.52,3.52,Bebidas
12,Consumo Não-Cíclico,ASAI3,ASSAI,ON      NM,88180251,0.317,0.9540000000000001,Comércio Distr.
13,Consumo Não-Cíclico,CRFB3,CARREFOUR BR,ON      NM,391758726,0.37799999999999995,0.9540000000000001,Comércio Distr.
14,Consumo Não-Cíclico,PCAR3,P.ACUCAR-CBD,ON      NM,156928631,0.259,0.9540000000000001,Comércio Distr.
15,Consumo Não-Cíclico,NTCO3,GRUPO NATURA,ON      NM,841433075,2.005,2.005,Pr Pessoal Limp
16,Consumo Cíclico,BTOW3,B2W DIGITAL,ON      NM,201802882,0.579,6.455,Comércio
17,Consumo Cíclico,LAME4,LOJAS AMERIC,PN      N1,847010651,0.807,6.455,Comércio
18,Consumo Cíclico,LREN3,LOJAS RENNER,ON      NM,887417914,1.757,6.455,Comércio
19,Consumo Cíclico,MGLU3,MAGAZ LUIZA,ON      NM,2668955512,2.319,6.455,Comércio
20,Consumo Cíclico,VVAR3,VIAVAREJO,ON      NM,1595508601,0.993,6.455,Comércio
21,Consumo Cíclico,HGTX3,CIA HERING,ON      NM,126186408,0.18600000000000003,0.18600000000000003,Tecid Vest Calç
22,Consumo Cíclico,CYRE3,CYRELA REALT,ON      NM,281154098,0.294,0.737,Constr Civil
23,Consumo Cíclico,EZTC3,EZTEC,ON      NM,95756217,0.13699999999999998,0.737,Constr Civil
24,Consumo Cíclico,JHSF3,JHSF PART,ON      NM,288832602,0.092,0.737,Constr Civil
25,Consumo Cíclico,MRVE3,MRV,ON      NM,293978672,0.214,0.737,Constr Civil
26,Consumo Cíclico,CVCB3,CVC BRASIL,ON      NM,200884562,0.226,0.226,Viagens e Lazer
27,Diverso,COGN3,COGNA ON,ON      NM,1847994874,0.342,2.7739999999999996,Diversos
28,Diverso,RENT3,LOCALIZA,ON      NM,593841434,1.621,2.7739999999999996,Diversos
29,Diverso,LCAM3,LOCAMERICA,ON      NM,323763077,0.379,2.7739999999999996,Diversos
30,Diverso,YDUQ3,YDUQS PART,ON      NM,300483575,0.43200000000000005,2.7739999999999996,Diversos
31,Financeiro,BRML3,BR MALLS PAR,ON      NM,843728684,0.405,0.83,Explor Imóveis
32,Financeiro,IGTA3,IGUATEMI,ON      NM,85796919,0.155,0.83,Explor Imóveis
33,Financeiro,MULT3,MULTIPLAN,ON      N2,245888754,0.27,0.83,Explor Imóveis
34,Financeiro,BIDI11,BANCO INTER,UNT     N2,235350939,0.6459999999999999,19.738,Interms Financs
35,Financeiro,BBDC3,BRADESCO,ON  EJ  N1,1253093907,1.274,19.738,Interms Financs
36,Financeiro,BBDC4,BRADESCO,PN  EJ  N1,4261649634,5.095,19.738,Interms Financs
37,Financeiro,BBAS3,BRASIL,ON  EJ  NM,1283197221,1.929,19.738,Interms Financs
38,Financeiro,BPAC11,BTGP BANCO,UNT     N2,236093794,1.1909999999999998,19.738,Interms Financs
39,Financeiro,ITSA4,ITAUSA,PN      N1,4515538171,2.259,19.738,Interms Financs
40,Financeiro,ITUB4,ITAUUNIBANCO,PN      N1,4770095054,6.6610000000000005,19.738,Interms Financs
41,Financeiro,SANB11,SANTANDER BR,UNT,355642348,0.6829999999999999,19.738,Interms Financs
42,Financeiro,BBSE3,BBSEGURIDADE,ON      NM,671584841,0.7040000000000001,1.44,Previd  Seguros
43,Financeiro,IRBR3,IRBBRASIL RE,ON      NM,1255286531,0.325,1.44,Previd  Seguros
44,Financeiro,SULA11,SUL AMERICA,UNT     N2,284566116,0.41100000000000003,1.44,Previd  Seguros
